id,text
168,"Hi Leah, I ordered this early to give to a co-worker for a Christmas gift. However, I am really impressed with they 3D item came out. I do plan to show it to another co-worker to see what she thinks about the outcome. Thank you reaching out and most of all it was such a quick turnaround.  
  Great service.  Matthew Mason;

 Sent from Yahoo Mail on Android"
26,"Good evening, 
  I just received my order! I have to say- I was moved to tears. The details and clarity is just stunning! I got your company information from a client of mine, who received one of your pieces, and she was moved to tears as well. My piece is also a gift, and I cannot wait to give it to Him! Thank You so much!  
  Cynthia Burns;


Sent from Yahoo Mail for iPhone"
64,"I couldn’t find where I could write a review but 5 stars all the way!  I ordered for my son’s birthday with a photo of his 2 rescue dogs.  It was shipped out and delivered so quickly and I know he will treasure it forever.  I would not hesitate recommending your business to friends and family.  Thank you for your fabulous work.   Marcus Cisneros  

 Sent from my iPad"
10,"I received my order today and gave it to my sister to remind her of her beautiful dog that passed away. She cried when she opened it and said she couldn’t believe how much it looked like her and the quality was exceptional. Thank you for the quick shipping and top notch customer service, I will be purchasing another one for my other sister and will be sure to give a rave review!!!    Sincerely,  Michelle Taylor 

Sent from Yahoo Mail for iPhone"
111,"﻿Max,

We received the heart but sadly are disappointed that there are two scratches on the front face of the heart, the top one being the worst. I have attached pictures so you can see what I’m referring to. I’d like to get redone and want to know the process.

Thanks,

Anthony Brown

589-782-0054

image0.jpeg

image1.jpeg

Sent from my iPhone"
187,"Received my 
Item today, this is the second we have ordered from you... its perfect."
245,"I am not satisfied with the quality of the items I order, the items itself had a very cloudy look and the picture isn’t as clear because of this, this is a father day gift to my husband who lost his mother last year and father says was always a big deals for her because of how proud she was of him and the father he is to our daughter, and his step kids. 70 dollar for a items of such poor quality is a disappointment. 

 Sent from my iPhone"
225,"Hello , I bought this tower for my girlfriend but I am not happy with how it came out. The picture is very dull and cannot be seen and the picture does not appear on the other 2 dimensions of the cube. Also I feel scammed, I paid $45 for this and I expected so much more. Not only is it small, it is not of good quality. I would like a refund because I cannot except this."
91,"Hello Corey.  

 I just wanted to tell you, we got our item today (June 18,2020). It's better than any of the pictures you sent. My mother was ecstatic. She loved it. I realized it's 364 days since that picture was taken. I couldn't have planned that if I tried. Thank you for your hard work. I appreciate all the questions you answered for me. Thank you so much.  

 Your NEW frequent customer, 

 Bruce"
241,"The item looks great! Can't wait until Christmas to give it to my daughter. Thank you. 

 

 

 Kurt Warren"
173,Well I am very disappointed with this order that I paid a lot of money for. The photo in the larger item looks terrible and is short on both sides about 1/2”. Meaning unlike my last order with the larger item this order the 3 item photos were not made available for enough and it looks terrible. I am not satisfied at all and now will not ever leave a good review. This is poor quality.
120,"Recibe do the order,very disappointed,paid for the engraved didn't do,the rotated order one send 2, the side for the rotaiting ligth order M send S ,Almost paíd 150 dólares,no even a nice box ,looks so Cheap made in North Anita I will be retorned is a joke so mad  

 Sent from my iPad"
203,"Good Morning Tricia,

I just wanted to thank you again for your gracious offer to replace our lost shipment. 

Your thoughtfulness is so appreciated 

Cynthia Simmons.  

 Sent from my iPad 

 ﻿"
78,"Hello, 
 
I justwanted to saythankyou for such a lovely piece. It turned out really well and I'm sure the person I'm sending to will be amazed. 
 
Thanks, 
 
Shawn Jones"
56,"Hi The item photo you made I am not happy with it. 1) The face in the engraving is different than the Original photo face. 2) The quality of engraving is so poor I can’t see the object Clear enough without light. 3) even with the lights I can’t see much object because engraving Quality was so poor.         4) if you want to try second time do it so.  Then if the quality comes out same like this,  I want to get my money back. 5). I called you the phone number listed on the website but you don’t answer. It’s very suspicious that you don’t take customers phone call . Why don’t you give me a call so I can explain how the quality has to be. My phone number is 625-836-9563 thank you 

 Sent from my iPhone"
105,"I am in tears!! You all truly did an amazing job! I lost one of my brothers August of 2019 so I wanted to make this Christmas special for the other two brothers that I have left, by gifting them a memory they cherish. You all exceeded my expectations and I will definitely put in another order. Thank you so much! 
  Kathleen Chavez

 Sent from my iPhone"
204,"Susan, 

 

 

 I received my item and it is beautiful!! I miss my girl Kristina so much,
 and the item displayed and lit up is a constant remembrance of her. Thank you 

 for the great work. I was just thinking of sharing a picture of my new treasure on 

 your Facebook page would this be ok? 

 

 

 Thank You, 

 


 
 Casey Warren

derekkent@hotmail.com"
212,My mother absolutely love it!!!!!! She was in tears ! Thank you so much
199,"Hello, Received my item today and am disappointed you chose to orient the photo in the height of the block and sent the black base oriented to light the width of a block which will not work for lighting my item! Please help me to rectify this order soon as it is a special occasion gift. Thank you  Tammy Bullock  Order 877-859-826171  Phone 2388875363"
140,"Thank both Recieved and are perfect !! Patty

 Sent from my iPhone"
